iteration,effect_pp,in_95_ci,favours_treatment
600,-0.667513541514056,1,0
601,-0.8340570867416713,1,0
602,-0.8287157260970679,1,0
603,-0.4933019428990937,1,0
604,-1.0387095574842853,1,0
605,-0.8594401685133424,1,0
606,-0.6400082562920656,1,0
607,-1.320949928008261,1,0
608,-0.7843356480754016,1,0
609,-0.7656371235704007,1,0
610,-0.7928185603098103,1,0
611,-0.7457357121959274,1,0
612,-0.5061815224596672,1,0
613,-0.35788429417481227,1,0
614,-0.9335253408117999,1,0
615,-0.7522396815160426,1,0
616,-0.835374906626149,1,0
617,-0.8462650679912143,1,0
618,-0.8532600476758079,1,0
619,-0.6756472285282922,1,0
620,-0.6523699733588517,1,0
621,-0.25277768310681126,0,0
622,-0.946119874692028,1,0
623,-0.7591451049232201,1,0
624,-0.6157743571312546,1,0
625,-0.9033695143644882,1,0
626,-0.654711567557964,1,0
627,-1.5063860117520838,0,0
628,-0.7252134559855988,1,0
629,-0.8871409431382565,1,0
630,-0.416373690755828,1,0
631,-0.8872573515449789,1,0
632,-0.7575944682253005,1,0
633,-0.6419483964041184,1,0
634,-0.3598229588951424,1,0
635,-0.5278544366725729,1,0
636,-0.7624164909843967,1,0
637,-0.7668265843752187,1,0
638,-1.0469208501030058,1,0
639,-1.020372208872386,1,0
640,-1.1138663067891186,1,0
641,-0.48960372601326574,1,0
642,-0.9913162869524761,1,0
643,-0.7956377388087493,1,0
644,-1.2656423612110084,1,0
645,-1.272289591067155,1,0
646,-0.3973244656389374,1,0
647,-1.223239750711913,1,0
648,-0.9059946788522205,1,0
649,-0.7427732731609571,1,0
650,-1.051420499771241,1,0
651,-0.7782062807130452,1,0
652,-0.996203964643122,1,0
653,-0.9642497832280716,1,0
654,-1.2358999395236936,1,0
655,-0.3268882321428551,1,0
656,-0.8795624460283258,1,0
657,-0.7678488832981389,1,0
658,-0.997265066368283,1,0
659,-0.9162878967272997,1,0
660,-0.808893395718796,1,0
661,-0.8285605148881048,1,0
662,-1.1168794992992641,1,0
663,-1.169678310015504,1,0
664,-0.47188722223722446,1,0
665,-1.0857282260583383,1,0
666,-0.8770536899473158,1,0
667,-1.3026513821986025,1,0
668,-0.9214994229005291,1,0
669,-0.7276580325267817,1,0
670,-0.5696750051380511,1,0
671,-1.1317768245763666,1,0
672,-0.8120991268484257,1,0
673,-1.3647748161256161,0,0
674,-0.2914940273930078,0,0
675,-1.2295123786103035,1,0
676,-1.0277701180357646,1,0
677,-0.7036181473771719,1,0
678,-0.4994954898012799,1,0
679,-1.0371574453946457,1,0
680,-0.553433007847165,1,0
681,-0.7692711609164016,1,0
682,-0.8429787804736633,1,0
683,-0.8390357961014561,1,0
684,-0.8131468025089322,1,0
685,-1.082767262415088,1,0
686,-1.0583259231784186,1,0
687,-0.5022758654979781,1,0
688,-0.33022379774386157,1,0
689,-0.8430310093405557,1,0
690,-0.8253413576938207,1,0
691,-0.4425582053099064,1,0
692,-1.2822977632618915,1,0
693,-0.6631168741878912,1,0
694,-0.9157700342335151,1,0
695,-0.9118001977319962,1,0
696,-1.2648797312308417,1,0
